Code,Name,City,Province,IsActive
SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Ho Chi Minh,true
HAN,Noi Bai International Airport,Hanoi,Hanoi,true
DAD,Da Nang International Airport,Da Nang,Da Nang,true
